original_title,imdb_id
Le Vieux Fusil,tt0073864
Monsieur Klein,tt0074916
Providence,tt0076574
L'argent des autres,tt0077175
Tess,tt0080009
Le Dernier Métro,tt0080610
La Guerre du feu,tt0082484
La balance,tt0083611
À nos amours,tt0086650
Les Ripoux,tt0088002
3 hommes et un couffin,tt0090206
Thérèse,tt0092090
Au revoir les enfants,tt0092593
Camille Claudel,tt0094828
Trop belle pour toi,tt0098520
Cyrano de Bergerac,tt0099334
Tous les matins du monde,tt0103110
Les nuits fauves,tt0105032
Smoking/No Smoking,tt0108167
Les roseaux sauvages,tt0111019
La Haine,tt0113247
Ridicule,tt0117477
On connaît la chanson,tt0119828
La Vie rêvée des anges,tt0120449
Vénus beauté (institut),tt0174330
Le goût des autres,tt0216787
Le Fabuleux Destin d'Amélie Poulain,tt0211915
Le pianiste,tt0253474
Les invasions barbares,tt0338135
L'Esquive,tt0338977
De battre mon cœur s'est arrêté,tt0411270
Lady Chatterley,tt0459880
La graine et le mulet,tt0487419
Séraphine,tt1048171
Un prophète,tt1235166
Des hommes et des dieux,tt1588337
The Artist,tt1655442
Amour,tt1602620
Les garçons et Guillaume à table!,tt2315200
Timbuktu,tt3409392
Fatima,tt4466544
Elle,tt3716530
120 battements par minute,tt6135348
Jusqu'à la garde,tt6002232
Les Misérables,tt10199590
Adieu les cons,tt10196398
Illusions perdues,tt10505316
La nuit du 12,tt16953666
Anatomie d'une chute,tt17009710
Emilia Pérez,tt20221436
