original_title,imdb_id
Shrek,tt0126029
Spirited Away,tt0245429
Finding Nemo,tt0266543
The Incredibles,tt0317705
Wallace & Gromit in The Curse of the Were-Rabbit,tt0312004
Happy Feet,tt0366548
Ratatouille,tt0382932
WALL-E,tt0910970
Up,tt1049413
Toy Story 3,tt0435761
Rango,tt1192628
Brave,tt1217209
Frozen,tt2294629
Big Hero 6,tt2245084
Inside Out,tt2096673
Zootopia,tt2948356
Coco,tt2380307
Spider-Man: Into the Spider-Verse,tt4633694
Toy Story 4,tt1979376
Soul,tt2948372
Encanto,tt2953050
Guillermo del Toro's Pinocchio,tt1488589
The Boy and the Heron,tt6587046
Flow,tt4772188
