original_title,imdb_id
Shoeshine,tt0038913
Monsieur Vincent,tt0039632
Le Voleur de bicyclette,tt0040522
The Walls of Malapaga,tt0040137
Rashomon,tt0042876
Jeux interdits,tt0043686
La porte de l'enfer,tt0045935
La Légende de Musashi,tt0047444
La Strada,tt0047528
The Nights of Cabiria,tt0050783
My Uncle,tt0050706
Black Orpheus,tt0053146
The Virgin Spring,tt0053976
Through a Glass Darkly,tt0055499
Sundays and Cybele,tt0055910
Federico Fellini's 8-1/2,tt0056801
Yesterday, Today and Tomorrow,tt0057171
The Shop on Main Street,tt0059527
A Man and a Woman,tt0061138
Closely Watched Trains,tt0060802
War and Peace,tt0063794
Z,tt0065234
Investigation of a Citizen above Suspicion,tt0065889
The Garden of the Finzi Continis,tt0065777
The Discreet Charm of the Bourgeoisie,tt0068361
Day for Night,tt0070460
Amarcord,tt0071129
Dersu Uzala,tt0071411
Black and White in Color,tt0074972
Madame Rosa,tt0076348
Get Out Your Handkerchiefs,tt0078122
The Tin Drum,tt0078875
Moscow Does Not Believe in Tears,tt0079579
Mephisto,tt0082736
Volver a Empezar ('To Begin Again'),tt0084874
Fanny & Alexander,tt0083922
Dangerous Moves,tt0087144
The Official Story,tt0089276
The Assault,tt0090576
Babette's Feast,tt0092603
Pelle the Conqueror,tt0093713
Cinema Paradiso,tt0095765
Journey of Hope,tt0100470
Mediterraneo,tt0102426
Indochine,tt0104507
Belle Epoque,tt0103791
Burnt by the Sun,tt0111579
Antonia's Line,tt0112379
Kolya,tt0116790
Character,tt0119448
Life Is Beautiful,tt0118799
All about My Mother,tt0185125
Crouching Tiger, Hidden Dragon,tt0190332
No Man's Land,tt0283509
Nowhere in Africa,tt0161860
The Barbarian Invasions,tt0338135
The Sea Inside,tt0369702
Tsotsi,tt0468565
The Lives of Others,tt0405094
The Counterfeiters,tt0813547
Departures,tt1069238
The Secret in Their Eyes,tt1305806
In a Better World,tt1340107
A Separation,tt1832382
Amour,tt1602620
The Great Beauty,tt2358891
Ida,tt2718492
Son of Saul,tt3808342
The Salesman,tt5186714
A Fantastic Woman,tt5639354
Roma,tt6155172
Parasite,tt6751668
Another Round,tt10288566
Drive My Car,tt14039582
All Quiet on the Western Front,tt1016150
The Zone of Interest,tt7160372
I'm Still Here,tt14961016
