original_title,imdb_id
Wings,tt0018578
The Broadway Melody,tt0019729
All Quiet on the Western Front,tt0020629
Cimarron,tt0021746
Grand Hotel,tt0022958
Cavalcade,tt0023876
It Happened One Night,tt0025316
Mutiny on the Bounty,tt0026752
The Great Ziegfeld,tt0027698
The Life of Emile Zola,tt0029146
You Can't Take It with You,tt0030993
Gone with the Wind,tt0031381
Rebecca,tt0032976
How Green Was My Valley,tt0033729
Mrs. Miniver,tt0035093
Casablanca,tt0034583
Going My Way,tt0036872
The Lost Weekend,tt0037884
The Best Years of Our Lives,tt0036868
Gentleman's Agreement,tt0039416
Hamlet,tt0040416
All the King's Men,tt0041113
All about Eve,tt0042192
An American in Paris,tt0043278
The Greatest Show on Earth,tt0044672
From Here to Eternity,tt0045793
On the Waterfront,tt0047296
Marty,tt0048356
Around the World in 80 Days,tt0048960
The Bridge on the River Kwai,tt0050212
Gigi,tt0051658
Ben-Hur,tt0052618
The Apartment,tt0053604
West Side Story,tt0055614
Lawrence of Arabia,tt0056172
Tom Jones,tt0057590
My Fair Lady,tt0058385
The Sound of Music,tt0059742
A Man for All Seasons,tt0060665
In the Heat of the Night,tt0061811
Oliver!,tt0063385
Midnight Cowboy,tt0064665
Patton,tt0066206
The French Connection,tt0067116
The Godfather,tt0068646
The Sting,tt0070735
The Godfather Part II,tt0071562
One Flew over the Cuckoo's Nest,tt0073486
Rocky,tt0075148
Annie Hall,tt0075686
The Deer Hunter,tt0077416
Kramer vs. Kramer,tt0079417
Ordinary People,tt0081283
Chariots of Fire,tt0082158
Gandhi,tt0083987
Terms of Endearment,tt0086425
Amadeus,tt0086879
Out of Africa,tt0089755
Platoon,tt0091763
The Last Emperor,tt0093389
Rain Man,tt0095953
Driving Miss Daisy,tt0097239
Dances With Wolves,tt0099348
The Silence of the Lambs,tt0102926
Unforgiven,tt0105695
Schindler's List,tt0108052
Forrest Gump,tt0109830
Braveheart,tt0112573
The English Patient,tt0116209
Titanic,tt0120338
Shakespeare in Love,tt0138097
American Beauty,tt0169547
Gladiator,tt0172495
A Beautiful Mind,tt0268978
Chicago,tt0299658
The Lord of the Rings: The Return of the King,tt0167260
Million Dollar Baby,tt0405159
Crash,tt0375679
The Departed,tt0407887
No Country for Old Men,tt0477348
Slumdog Millionaire,tt1010048
The Hurt Locker,tt0887912
The King's Speech,tt1504320
The Artist,tt1655442
Argo,tt1024648
12 Years a Slave,tt2024544
Birdman or (The Unexpected Virtue of Ignorance),tt2562232
Spotlight,tt1895587
Moonlight,tt4975722
The Shape of Water,tt5580390
Green Book,tt6966692
Parasite,tt6751668
Nomadland,tt9770150
CODA,tt10366460
Everything Everywhere All at Once,tt6710474
Oppenheimer,tt15398776
Anora,tt28607951
